Désignation,N°,Code catégorie,Page scolaire
"['cahier', '48page', 'polypropylene', '24x32cm', 'grandcarreau', 'rose']",14465,1250222,972
"['cahier', '48page', 'polypropylene', '24x32cm', 'grandcarreau', '90g', 'violet']",30899,1250222,972
"['cahier', '48page', 'polypropylene', '24x32cm', 'grandcarreau', '90g', 'orange']",30900,1250222,972
"['cahier', '48page', 'polypropylene', '24x32cm', 'grandcarreau', '90g', 'gri']",30901,1250222,972
"['cahier', '48page', 'polypropylene', '24x32cm', 'grandcarreau', '90g', 'incolore']",30902,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'bleu']",68261,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'rouge']",68262,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'vert']",68263,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'jaune']",68264,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'rose']",14466,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'violet']",79855,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'orange']",79856,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'grandcarreau', 'incolore']",79857,1250222,972
"['cahier', '96page', 'polypropylene', '24x32cm', 'gri', 'perle']",79858,1250222,972
"['cahier', '140page', 'polypropylene', '24x32cm', 'bleu']",26974,1250222,972
"['cahier', '140page', 'polypropylene', '24x32cm', 'rouge']",26975,1250222,972
"['cahier', '140page', 'polypropylene', '24x32cm', 'vert']",26976,1250222,972
"['cahier', '140page', 'polypropylene', '24x32cm', 'jaune']",26977,1250222,972
"['cahier', '140page', 'polypropylene', '24x32cm', 'incolore']",2831,1250222,972
"['cahier', '192page', 'polypropylene', '24x32cm', 'incolore']",89623,1250222,972
"['cahier', 'pique', '96page', '3', 'index', 'polypropylene', '17x22cm', 'grandcarreau']",9857,1250214,973
"['cahier', 'pique', '96page', '4', 'index', 'polypropylene', '17x22cm', 'grandcarreau']",9859,1250214,973
"['cahier', 'pique', '140page', '4', 'index', 'polypropylene', '17x22cm', 'grandcarreau']",9862,1250214,973
"['cahier', 'pique', '96page', '4', 'index', 'polypropylene', 'a4', 'grandcarreau']",9860,1250214,973
"['cahier', 'pique', '96page', '3', 'index', 'polypropylene', '24x32cm', 'grandcarreau']",9858,1250214,973
"['cahier', 'pique', '96page', '4', 'index', 'polypropylene', '24x32cm', 'grandcarreau']",9861,1250222,973
"['cahier', 'pique', '140page', '4', 'index', 'polypropylene', '24x32cm', 'grandcarreau']",9863,1250214,973
"['cahier', '96page', 'a4', 'petitcarreau', '90g', 'polypropylene', 'incolore']",81597,1250218,973
"['cahier', '48page', 'polypropylene', '24x32cm', 'petitcarreau', 'incolore']",28662,1250222,973
"['cahier', '96page', 'polypropylene', '24x32cm', 'petitcarreau', 'incolore']",81598,1250222,973
"['cahier', '96page', 'polypropylene', '24x32cm', 'petitcarreau', 'colori', 'bleu']",9121,1250222,973
"['cahier', '96page', 'polypropylene', '24x32cm', 'petitcarreau', 'colori', 'rouge']",9122,1250222,973
"['cahier', '96page', 'polypropylene', '24x32cm', 'petitcarreau', 'colori', 'vert']",9123,1250222,973
"['cahier', '96page', 'polypropylene', '24x32cm', 'petitcarreau', 'colori', 'jaune']",9124,1250222,973
"['cahier', 'travaux', 'pratique', 'cahier', '48page', '17x22cm', 'incolore']",85964,1250254,973
"['cahier', 'travaux', 'pratique', 'cahier', '64page', '17x22cm', 'colori', 'assorti']",72207,1250254,973
"['cahier', 'travaux', 'pratique', 'cahier', '96page', '21x29,7cm', 'colori', 'assorti']",72208,1250254,973
"['cahier', 'travaux', 'pratique', 'cahier', '48page', '24x32cm', 'incolore']",85965,1250254,973
"['cahier', 'travaux', 'pratique', 'cahier', '96page', '24x32cm', 'colori', 'assorti']",72209,1250254,973
"['cahier', 'dessin', '32page', '17x22cm', 'uni', '90g', 'polypropylene', 'incolore']",79860,1250256,974
"['cahier', 'dessin', '48page', '24x32cm', 'uni', '120g', 'polypropylene', 'incolore']",79861,1250256,974
"['cahier', 'dessin', '96page', '24x32cm', 'uni', '120g', 'polypropylene', 'incolore']",32544,1250256,974
"['cahier', '96page', 'polypropylene', '24x32cm', 'uni', '90g', 'colori', 'assorti']",63134,1250222,974
"['cahier', 'poesie', '48page', 'grandcarreau', '90g/uni', '90g', '17x22cm', 'incolore']",76307,1250254,974
"['cahier', 'poesie', '48page', 'grandcarreau', '90g/uni', '120g', '17x22cm', 'incolore']",89627,1250254,974
"['cahier', 'poesie', '48page', 'grandcarreau', '90g/uni', '120g', '21x29,7cm', 'incolore']",85963,1250254,974
"['cahier', 'poesie', '96page', 'grandcarreau', '90g/uni', '90g', '21x29,7cm', 'incolore']",79859,1250254,974
"['cahier', 'poesie', '48page', 'grandcarreau', '90g/uni', '90g', '24x32cm', 'incolore']",32543,1250254,974
"['cahier', '48page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'bleu']",16201,1250214,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'rouge']",16202,1250214,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'vert']",16203,1250214,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreausjaune']",16204,1250214,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'incolore']",16205,1250214,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'bleu']",16206,1250214,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'rouge']",16207,1250214,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'vert']",16208,1250214,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreausjaune']",16209,1250214,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '17x22cm', 'grandcarreau', 'incolore']",16210,1250214,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'bleu']",16211,1250222,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'rouge']",16212,1250222,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'vert']",16213,1250222,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'jaune']",16214,1250222,977
"['cahier', '48page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'incolore']",9897,1250222,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'bleu']",16215,1250222,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'rouge']",16216,1250222,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'vert']",16217,1250222,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'jaune']",16218,1250222,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '24x32cm', 'grandcarreau', 'incolore']",16219,1250222,977
"['cahier', '96page', 'polypropylene', '2', 'rabat', '24x32cm', 'petitcarreau', 'incolore']",2529,1250222,977
"['cahier', 'reliure', 'polypropylene', '100page', '17x22cm', 'grandcarreau']",14474,1250242,977
"['cahier', 'reliure', 'polypropylene', '100page', 'a4', 'grandcarreau']",14485,1250244,977
"['cahier', 'reliure', 'polypropylene', '180page', 'a4', 'grandcarreau']",14487,1250244,977
"['cahier', 'reliure', 'polypropylene', '100page', '17x22cm', 'petitcarreau']",64084,1250242,977
"['cahier', 'reliure', 'polypropylene', '100page', 'a4', 'petitcarreau']",64085,1250244,977
"['cahier', 'reliure', 'polypropylene', '180page', 'a4', 'petitcarreau']",64086,1250244,977
"['cahier', 'texte', 'reliure', '124page', '17x22cm']",47796,1250260,977
"['agenda', 'scolaire', '17x22cm', '80page']",53572,1253010,979
"['agenda', 'journalier', 'septembre', 'aout', '11,5x17cm', 'reliure']",72567,1253010,979
"['agenda', 'septembre', 'aout', '11,5x17cm', 'motif', '""planete""']",44280,1253010,979
"['cahier', 'maternelle', '32page', '17x22cm', '1page', 'lignee', 'traver', '18mm', '/1page', 'uni']",10644,1250204,981
"['cahier', 'maternelle', '32page', '17x22cm', 'double', 'ligne', '3mm', '/', 'uni']",10641,1250204,981
"['cahier', 'maternelle', '32page', '17x22cm', '1page', 'lignee', 'double', 'ligne', '4mm', '/', '1page', 'blanche']",10642,1250204,981
"['cahier', 'maternelle', '17x22cm', '32page', '1page', 'double', 'ligne', '5mm', '/', '1page', 'blanche']",10643,1250204,981
"['cahier', 'apprentissage', '32page', '17x22cm', 'double', 'ligne', '2mm', 'iv']",37994,1250206,981
"['cahier', 'apprentissage', '32page', '17x22cm', 'double', 'ligne', '3mm', 'iv']",10539,1250206,981
"['cahier', '32page', '17x22cm', 'reglure', 'secail', '2,5mm']",10541,1250206,981
"['cahier', 'apprentissage', '32page', '17x22cm', 'grandcarreau', '2,5mm']",35268,1250206,981
"['cahier', 'apprentissage', '32page', '17x22cm', 'grandcarreau', '3mm']",10540,1250206,981
"['cahier', 'apprentissage', '32page', '17x22cm', 'grandcarreau', '4mm']",35269,1250206,981
"['cahier', 'dessin', '16page', '17x22cm']",47802,1250256,983
"['cahier', 'dessin', '32page', '17x22cm']",39120,1250256,983
"['cahier', 'dessin', '16page', '24x32cm']",47804,1250256,983
"['cahier', 'dessin', '96page', '24x32cm']",22132,1250256,983
"['cahier', 'musique', 'chant', '21x29,7cm', '48page']",35331,1250262,983
"['cahier', 'musique', 'chant', '17x22cm', '48page']",35332,1250262,983
"['cahier', 'brouillon', '48page', '17x22cm']",22566U20,1250202,983
"['cahier', 'brouillon', '96page', '17x22cm']",22570U10,1250202,983
"['cahier', 'brouillon', '48page', '17x22cm', '100%', 'recycle']",03163U20,1250202,983
"['cahier', 'brouillon', '96page', '17x22cm', '100%', 'recycle']",03164U10,1250202,983
"['cahier', '32page', '17x22cm', 'grandcarreau']",27949,1250212,984
"['cahier', '48page', '17x22cm', 'grandcarreau']",27950,1250212,984
"['cahier', '60page', '17x22cm', 'grandcarreau']",27951,1250212,984
"['cahier', '96page', '17x22cm', 'grandcarreau']",27952,1250212,984
"['cahier', '140page', '17x22cm', 'grandcarreau']",27953,1250212,984
"['cahier', 'brochure', '192page', '17x22cm', 'grandcarreau']",47792,1250232,984
"['cahier', 'reliure', '100page', '17x22cm', 'grandcarreau']",10524,1250242,984
"['cahier', 'reliure', '180page', '17x22cm', 'grandcarreau']",10526,1250242,984
