Désignation,N°,Code catégorie,Page scolaire
"['feutre', 'effacable', 'frixion', 'ball', 'pointe', 'moyenne', 'noir']",65384,1301030,1025
"['feutre', 'effacable', 'frixion', 'ball', 'pointe', 'moyenne', 'rouge']",65385,1301030,1025
"['feutre', 'effacable', 'frixion', 'ball', 'pointe', 'moyenne', 'vert']",65386,1301030,1025
"['pochette', '4', 'roller', 'effacable', 'frixion', 'ball', 'pointe', 'moyenne', 'assorti']",26309,1301030,1025
"['etui', '3', 'recharge', 'stylo', 'frixionpointe', 'moyenne', 'bleu']",74676,1301050,1025
"['etui', '3', 'recharge', 'stylo', 'frixion', 'pointe', 'moyenne', 'noir']",74677,1301050,1025
"['etui', '3', 'recharge', 'stylo', 'frixion', 'pointe', 'moyenne', 'rouge']",74678,1301050,1025
"['etui', '3', 'recharge', 'stylo', 'frixion', 'pointe', 'moyenne', 'vert']",74680,1301050,1025
"['set', '6', 'recharge', 'frixion', 'pointe', 'moyenne', 'bleu']",64021,1301050,1025
"['set', '6', 'recharge', 'frixionpointe', 'moyenne', 'noir']",64022,1301050,1025
"['set', '6', 'recharge', 'frixion', 'pointe', 'moyenne', 'assorti']",64023,1301050,1025
"['porte', 'plume', 'dessin', 'atome']",3110,1300402,1028
"['boite', '12', 'plume', 'dessin', 'atome']",17521,1300402,1028
"['effaceur', 'reecriveur', '2', 'pointe', 'fine', 'magic', '+']",2300,1303050,1029
"['stylo', 'plume', 'school', 'writer']",27511,1300406,1029
"['roller', 'cartouche', 'encre', 'easy', 'pointe', 'moyenne']",24876,1301414,1029
"['stylo', 'roller', 'cartouche', 'smiley']",27509,1301414,1029
"['etui', '6', 'cartouche', 'internationale', 'bleu']",34653,1300412,1029
"['sachet', '50', 'cartouche', 'encre', 'courte', 'internationale', 'bleu']",37884,1300412,1029
"['etui', '6', 'cartouche', 'internationale', 'encre', 'noire']",12911,1300412,1029
"['etui', '6', 'cartouche', 'internationale', 'encre', 'rouge']",12912,1300412,1029
"['feutre', 'stabilo', 'point', '88', 'pointe', 'fine', 'bleu']",20794,1301403,1030
"['feutre', 'stabilo', 'point', '88', 'pointe', 'fine', 'noir']",20795,1301403,1030
"['pochette', '15', 'feutre', 'stabilo', 'point88', 'pointe', 'fine', 'assorti']",34851,1301403,1030
"['stylo', 'feutre', 'pointe', 'fine', 'baguee', 'bleu']",67670,1301403,1030
"['stylo', 'feutre', 'pointe', 'fine', 'baguee', 'noir']",67671,1301403,1030
"['stylo', 'feutre', 'pointe', 'fine', 'baguee', 'rouge']",67672,1301403,1030
"['stylo', 'feutre', 'pointe', 'fine', 'baguee', 'vert']",67673,1301403,1030
"['stylo', 'feutre', 'flair', 'bleu']",1520,1301408,1031
"['stylo', 'feutre', 'flair', 'noir']",1521,1301408,1031
"['feutre', 'visa', '880', 'bleu']",89697,1301408,1031
"['feutre', 'visa', '880', 'noir']",89698,1301408,1031
"['feutre', 'visa', '880', 'rouge']",89699,1301408,1031
"['marqueur', 'permanent', 'inelebile', 'pointe', 'ogive', '1', '3mm', 'bleu']",63003,1302002,1033
"['marqueur', 'permanent', 'pointe', 'ogive', '1', '3mm', 'noir']",63004,1302002,1033
"['marqueur', 'permanent', 'pointe', 'ogive', '1', '3mm', 'rouge']",63005,1302002,1033
"['marqueur', 'permanent', 'pointe', 'ogive', '1', '3mm', 'vert']",63006,1302002,1033
"['pochette', '4', 'marqueur', 'permanent', 'indelebile', 't', 'pointe', 'ogive', '1', '3mm', 'assorti']",63012,1302002,1033
"['feutre', 'lumocolor', 'permanent', '0,4mm', 'noir']",63951,1802820,B339
"['pochette', '4', 'feutre', 'lumocolor', 'permanent', '0,6mm', 'assorti']",66779,1802820,B339
"['feutre', 'effacable', 'sec', 'pointe', 'fine', 'bleu']",1260,1302010,1035
"['feutre', 'effacable', 'sec', 'pointe', 'fine', 'noir']",1261,1302010,1035
"['feutre', 'effacable', 'sec', 'pointe', 'fine', 'rouge']",1262,1302010,1035
"['feutre', 'effacable', 'sec', 'pointe', 'fine', 'vert']",1263,1302010,1035
"['pochette', '4', 'feutre', 'effacable', 'sec', 'pointe', 'fine']",15005,1302010,1035
"['pochette', '8', 'feutre', 'effacable', 'sec', 'pointe', 'fine']",15014,1302010,1035
"['feutre', 'tableau', 'blanc', 'pointe', 'fine', 'ogive', 'bleu']",22668,1302010,1035
"['feutre', 'tableau', 'blanc', 'pointe', 'fine', 'ogive', 'noir']",22669,1302010,1035
"['feutre', 'tableau', 'blanc', 'pointe', 'fine', 'ogive', 'rouge']",22670,1302010,1035
"['feutre', 'tableau', 'blanc', 'pointe', 'fine', 'ogive', 'vert']",22671,1302010,1035
"['etui', '4', 'feutre', 'tableau', 'blanc', 'pointe', 'fine', 'ogive', 'assorti']",22672,1302010,1035
"['feutre', 'tableau', 'blanc', 'pointe', 'moyenne', 'ogive', 'bleu']",22674,1302010,1036
"['feutre', 'tableau', 'blanc', 'pointe', 'moyenne', 'ogive', 'noir']",22675,1302010,1036
"['feutre', 'tableau', 'blanc', 'pointe', 'moyenne', 'ogive', 'rouge']",22676,1302010,1036
"['feutre', 'tableau', 'blanc', 'pointe', 'moyenne', 'ogive', 'vert']",22677,1302010,1036
"['etui', '4', 'feutre', 'tableau', 'blanc', 'pointe', 'moyenne', 'ogive', 'assorti']",22678,1302010,1036
"['etui', '6', 'feutre', 'tableau', 'blanc', 'pointe', 'moyenne', 'ogive', 'assorti']",36021,1302010,1036
"['marqueur', 'effacable', 'sec', 'velleda', 'pointe', 'moyenne', 'ogive', 'bleu']",1280,1302010,1036
"['marqueur', 'effacable', 'sec', 'velleda', 'pointe', 'moyenne', 'ogive', 'noir']",1281,1302010,1036
"['marqueur', 'effacable', 'sec', 'velleda', 'pointe', 'moyenne', 'ogive', 'rouge']",1282,1302010,1036
"['marqueur', 'effacable', 'sec', 'velleda', 'pointe', 'moyenne', 'ogive', 'vert']",1283,1302010,1036
"['pochette', '4', 'marqueur', 'effacable', 'sec', 'velleda', 'pointe', 'moyenne', '2mm', 'assorti']",15029,1302010,1036
"['pochette', '6', 'marqueur', 'effacable', 'sec', 'velleda', 'pointe', 'moyenne', '2mm', 'assorti']",15030,1302010,1036
"['pochette', '8', 'marqueur', 'effacable', 'sec', 'velleda', 'pointe', 'moyenne', '2mm', 'assorti']",15031,1302010,1036
"['marqueur', 'tableau', 'velleda', '1701', 'bleu']",3063,1302010,1039
"['marqueur', 'tableau', 'velleda', '1701', 'noir']",3064,1302010,1039
"['marqueur', 'tableau', 'velleda', '1701', 'rouge']",3065,1302010,1039
"['marqueur', 'tableau', 'velleda', '1701', 'vert']",3066,1302010,1039
"['etui', '4', 'marqueur', 'tableau', 'velleda', '1701', 'assorti']",3067,1302010,1039
"['pochette', '4', 'marqueur', 'tableau', 'blanc', 'velleda', '1711', 'effacable', 'sec', 'pointe', 'ogive', 'assorti']",15004,1302010,1039
"['marqueur', 'tableau', 'blanc', 'velleda', '1711', 'effacable', 'sec', 'pointe', 'ogive', 'bleu']",15021,1302010,1039
"['marqueur', 'tableau', 'blanc', 'velleda', '1711', 'effacable', 'sec', 'pointe', 'ogive', 'noir']",15022,1302010,1039
"['marqueur', 'tableau', 'blanc', 'velleda', '1711', 'effacable', 'sec', 'pointe', 'ogive', 'rouge']",15023,1302010,1039
"['marqueur', 'tableau', 'blanc', 'velleda', '1711', 'effacable', 'sec', 'pointe', 'ogive', 'vert']",15024,1302010,1039
"['stabilo', 'large', 'jaune']",64132,1302204,1042
"['stabilo', 'large', 'vert']",64133,1302204,1042
"['stabilo', 'large', 'rose']",64134,1302204,1042
"['stabilo', 'large', 'bleu']",64135,1302204,1042
"['stabilo', 'large', 'orange']",64136,1302204,1042
"['stabilo', 'large', 'rouge']",82336,1302204,1042
"['pochette', '4', 'stabilo', 'large', 'assorti']",70487,1302204,1042
"['pochette', '6', 'stabilo', 'large', 'assorti']",82340,1302204,1042
"['pochette', '8', 'stabilo', 'large', 'assorti']",82341,1302204,1042
"['stabilo', 'stabilo', 'bos', 'jaune']",1423,1302204,1043
"['stabilo', 'stabilo', 'bos', 'rose']",1425,1302204,1043
"['stabilo', 'stabilo', 'bos', 'bleu']",1420,1302204,B344
"['stabilo', 'stabilo', 'bos', 'vert']",1422,1302204,B344
"['stabilo', 'stabilo', 'bos', 'orange']",1424,1302204,B344
"['pochette', '4', 'stabilo', 'stabilo', 'bos', 'encre', 'universelle', 'fluorescente', 'assorti', 'jaune', 'rose', 'vert', 'o']",36667,1302204,1043
"['stabilo', 'poche', 'jaune']",59292,1302202,1043
"['stabilo', 'poche', 'vert']",59293,1302202,1043
"['stabilo', 'poche', 'rose']",59294,1302202,1043
"['stabilo', 'poche', 'bleu']",59295,1302202,1043
"['stabilo', 'poche', 'orange']",59296,1302202,1043
"['pochette', '6', 'stabilo', 'poche', 'assorti']",59652,1302202,1043
"['stabilo', 'highlighter', 'grip', 'jaune']",33290,1302202,1043
"['stabilo', 'highlighter', 'grip', 'rose']",33291,1302202,1043
"['stabilo', 'highlighter', 'grip', 'vert']",33292,1302202,1043
"['stabilo', 'highlighter', 'grip', 'orange']",33293,1302202,1043
"['pochette', '5', 'stabilo', 'highlighter', 'grip', 'assorti']",33294,1302202,1043
"['trousse', 'rond', 'assorti']",68436,1304002,1044
"['trousse', 'plat', 'assorti']",68437,1304002,1044
"['trousse', 'double', 'plateau', 'rouge']",15221,1304002,1044
"['correcteur', 'mini', 'mouse', '5mmx6m']",44244,1303022,1044
"['correcteur', 'frontal', 'jetable', '5mmx8m']",34848,1303022,1045
"['correcteur', 'tippexeasy', 'refill', '5mmx14m']",77883,1303022,1045
"['recharge', 'correcteur', 'tippex']",78564,1303022,1045
"['taille-crayon', 'metal', '1', 'usage']",7510,1502018,1046
"['taille-crayon', 'metal', '2', 'usage']",7520,1502018,1046
"['taille', 'crayon', 'plastique', '1', 'usage', 'reserve']",24864,1502018,1046
"['taille-crayon', 'metal', 'reserve', '2', 'usage']",72236,1502018,1046
"['taille-crayon', 'plastique', 'reserve', '2', 'usage']",7550,1502018,1046
"['taille', 'crayon', 'ergo', 'buro', '2', 'usage', 'metal', '+', 'reserve']",26034,1502018,B348
"['taille', 'crayon', 'galactic', '1', 'usage', 'reserve']",65980,1502018,B348
"['taille', 'crayon', 'bulbo', '1', 'usage', 'reserve']",11969,1502018,1046
"['taille', 'crayon', ""color'pep"", '2', 'usage']",4490,1502018,1046
"['gomme', 'plastique']",35329,1303004,1047
"['gomme', 'plastique', 'technic', '600', 'green']",22700,1303004,1047
"['gomme', 'mar', 'plastique']",2130,1303004,1047
"['gomme', 'bicolore', 'encre', '/', 'crayon']",35346U40,1303008,1047
"['gomme', 'blanche', 'architecte']",55788,1303008,B348
"['gomme', 'blanche', 'ovalyne', 'sou', 'blister']",77073,1303008,B348
"['gomme', 'crayon']",35345U40,1303008,1047
"['ciseaux', 'bout', 'rond', '13cm', 'droitier']",35325,1502002,1048
"['ciseaux', 'bout', 'rond', '13cm', 'gaucher']",48225,1502002,1048
"['ciseaux', 'majuscule', 'droitier', '13cm']",21536,1502002,1048
"['ciseaux', 'majuscule', 'gaucher', '13cm']",21537,1502002,1048
"['ciseaux', 'bout', 'rond', '13cm']",32758,1502002,1048
"['ciseaux', 'bout', 'rond', '16cm']",59936,1502002,1049
"['ciseaux', '17cm', 'bout', 'pointu', 'soft', 'blue']",59666,1502004,1049
"['ciseaux', '21cm', 'bout', 'pointu', 'soft', 'blue']",59667,1502004,1049
"['ciseaux', 'ambidextre', 'anneaux', 'plastique', 'bout', 'pointu', '17cm']",64189,1502004,1049
"['ciseaux', 'universel', 'first', 'anneaux', 'symetrique', 'plastique', 'bout', 'pointu', '17cm']",62697,1502004,B381
"['ciseaux', 'universel', 'first', 'anneaux', 'asymetrique', 'plastique', 'bout', 'pointu', '21cm']",62698,1502004,B381
"['compa', 'scolaire', 'bague']",34581,1502245,1051
"['compa', 'scolaire', 'maped', 'essential']",59940,1502245,1051
"['compa', 'bague', '+', 'crayon', 'maped', 'study']",58084,1502245,1051
"['coffret', 'compa', 'bague', 'csystem', 'innovation', 'maped']",11971,1502245,1051
"['compa', 'bague', 'maped', 'stop', 'and', 'safe', 'plastique']",27135,1502245,1051
"['compa', 'basique']",76620,1502245,1051
"['blister', '12', 'mine', 'compa', '+', '1', 'taille-mine']",70086,1502245,1051
"['compa', 'mine', 'maped', 'stop', 'system']",60825,1502245,1051
"['compa', 'mine', 'rechargeable']",34580,1502245,1051
"['coffret', 'compa', 'scolaire', 'metal']",83083,1502245,1051
"['compa', 'mine', 'maped', 'metal', 'open']",MAP369000,1502245,1051
"['compa', 'metal', 'maped', 'coffret', 'origin']",MAP121651,1502245,HC
"['compa', 'technique']",11490,1502242,B385
"['coffret', 'compa', '+', '4', 'accessoire']",82914,1502242,B385
"['regle', 'plate', 'plastique', '20cm']",79842,1502202,1052
"['regle', 'plate', 'cristal', '30cm']",78324,1502202,1052
"['double', 'decimetre', 'plastique', 'cristal']",79846,1502205,1052
"['triple', 'decimetre', 'plastique', 'cristal']",81580,1502205,1052
"['equerre', 'cristal', '45deg', '21cm']",79843,1502215,1052
"['equerre', 'plastique', '60deg', '16cm']",79844,1502215,1052
"['equerre', 'plastique', '60deg', '21cm']",79845,1502215,1052
"['equerre', 'geometrique', '16cm']",54097,1502215,1052
"['rapporteur', 'cristal', '180deg']",79847,1502225,1052
"['rapporteur', 'cristal', '360deg']",3954,1502225,1052
"['set', '4', 'article', 'tracage', 'economique']",77882,1502205,1052
"['regle', 'plate', '20cm', 'incassable', 'maped', 'study']",39098,1502205,1053
"['regle', 'plate', 'incassable', '30cm', 'maped', 'study']",72528,1502205,1053
"['double', 'decimetre', 'incassable', 'maped', 'study']",72526,1502205,1053
"['triple', 'decimetre', 'incassable', 'maped', 'study']",72527,1502205,1053
"['equerre', 'plastique', 'incassable', '21cm', '45deg', 'maped', 'study']",79822,1502215,1053
"['equerre', 'plastique', 'incassable', '20cm', '60deg', 'maped', 'study']",79821,1502215,1053
"['rapporteur', 'incassable', '12cm', '180deg', 'maped', 'study']",80139,1502225,1053
"['set', '4', 'article', 'tracage', 'incassable', 'maped', 'study']",44046,1502205,1053
"['regle', 'plate', '20cm', 'incassable']",7914,1502205,1053
"['regle', 'plate', '30cm', 'incassable']",7892,1502205,1053
"['double', 'decimetre', 'incassable']",7890,1502205,1053
"['equerre', '60', 'degre', '21cm', 'incassable']",86535,1502215,1053
"['rapporteur', '180', 'degre', 'incassable']",7895,1502225,1053
"['set', '4', 'piece', 'tracage', 'incassable']",7889,1502205,1053
"['regle', 'equerre', '20cm']",6342,1502202,1053
"['regle', 'equerre', '17cm']",27429,1502202,1053
"['rapporteur', 'geometrie', '360deg']",3952,1502225,1053
"['regle', 'equerre', '2', '1', '20cm', 'maped']",6035,1502202,1053
"['reglet', 'inox2', 'face', '30cm']",50048,1502230,1054
"['set', '3', 'article', 'tracage', 'aluminium']",39282,1502205,1054
"['symbole', 'tactique', 'otan']",18998,1502220,B384
"['trace', 'cercle', 'pair', 'impair', '1', '30mm']",32913,1502220,B384
"['ardoise', 'noir', 'cadre', 'boi', '1', 'face', 'e1', '1', 'face', 'uni']",10170,1600404,1057
"['pochette', 'douze', 'crayon', 'ardoise']",12562,1600414,1057
"['epongette', 'ardoise']",13280,1600416,1057
"['ardoise', 'effacable', 'sec', '1', 'face', 'uni', '/', '1', 'face', 'grandcarreau']",68250,1600402,1059
"['ardoise', 'effacable', 'sec', '1', 'une', 'face', 'unie', 'une', 'face', 'grandcarreau', '+', 'crayon', '+', 'effaceur']",67587,1600402,HC
"['ardoise', 'effacable', 'sec', '1', 'face', 'unie', '1', 'face', 'e', 'petitcarreau']",51135,1600402,1059
"['ardoise', 'effacable', 'sec', 'maped', '1', 'cote', 'uni', '1', 'cote', 'grandcarreau', 'incassable']",4495,1600402,1059
"['chiffon', 'microfibre', '20x20cm']",7950,1600206,1058
"['tube', '30', 'ml', 'colle', 'gel', 'universelle']",74840,1500812,1064
"['tube', '30', 'ml', 'colle', 'universelle', 'transparente', 'liquide']",11440,1500812,1064
"['baton', 'colle', '8g']",71966,1500810,1067
"['baton', 'colle', '25g']",71967,1500810,1067
"['baton', 'colle', '36g']",71968,1500810,1067
"['baton', 'colle', '8g', 'cleostick']",33317,1500810,1066
"['baton', 'colle', '21g', 'cleostick']",33318,1500810,1066
"['baton', 'colle', '36g', 'cleostick']",33319,1500810,1066
"['baton', 'colle', 'scotch', '8g']",79576U05,1500810,1067
"['baton', 'colle', 'scotch', '21g']",26378U05,1500810,1067
"['lot', '5', 'baton', 'colle', '""scotch""', '8g']",79576,1500810,1067
"['lot', '5', 'baton', 'colle', 'scotch', '21g']",26378,1500810,1067
"['baton', 'colle', 'petit', 'modele', 'uhu', '8,2g']",11462,1500810,1067
"['baton', 'colle', 'grand', 'modele', 'uhu', '21g']",11463,1500810,1067
"['baton', 'colle', 'geant', 'uhu', '40g']",11464,1500810,1067
"['scotch', 'invisible', '19mmx33m']",67954,1501004,1073
"['scotch', 'transparent', '19mmx33m']",61331,1501002,1073
"['ramette', '500feuille', 'papier', 'blanc', '80g', 'a4']",58431,1100208,1079
"['ecouteur', 'stereo', 'jack']",2982,1905024,1135
"['casque', 'micro', 'jack']",78841,1905024,B598
"['casque', 'micro', 'usb']",26932,1905024,B598
"['ecouteur', 'filaire', 'jack', 'noir', '+', 'micro']",16298,1905024,B598
"['boite', '20', 'etiquette', 'blanche', '56x36cm', 'mm']",31865,1501422,1086
"['pochette', '210', 'etiquette', 'blanche', '36x56cm', 'mm']",13334,1501422,1086
"['porte-bloc', 'cristal', '21x29,7cm']",49381,1251216,1090
"['porte-bloc', 'plastique', 'a4+']",38568,1251216,1090
"['bloc', 'bureau', '100feuille', '60g', 'a6', 'petitcarreau']",63205,1251202,1092
"['bloc', 'bureau', '100feuille', '60g', 'a5', 'petitcarreau']",63206,1251202,1092
"['bloc', 'bureau', '100feuille', '60g', 'a4', 'petitcarreau']",63207,1251202,1092
"['bloc', 'steno', 'reliure', '180page', 'a5', 'uni', '60g']",73685,1251212,1092
"['perforateur', '1', 'trou']",16575,1500602,1099
"['agrafeuse', 'poche', 'mini', '24/6', '26/6']",68017,1500202,1099
"['boite', '1000', 'agrafe', '24/6']",10104,1500214,1099
"['boite', '1000', 'agrafe', '26/6']",70368,1500214,1099
"['cle', 'usb', '4', 'go']",72821,1901414,1132
"['cle', 'usb', '8', 'go']",72822,1901414,1132
"['cle', 'usb', '16', 'go']",75283,1901414,1132
"['cle', 'usb', '32', 'go']",20319,1901414,1132
"['cadena', 'cle', '40mm']",24113,2001416,1141
"['cadena', 'cle', '30mm']",61723,2001416,1141
"['cadena', 'metal', 'combinaison', '3', 'chiffre']",40315,2001416,B517
"['savon', '500ml']",61770,2001012,B061
"['gel', 'hydroalcoolique', '100ml']",28646,2001012,B061
"['paquet', '60', 'lingette', 'antibacterienne']",9040,2001012,1143
"['boite', '100', 'mouchoir']",78756,2001010,1144
"['lot', '2', 'rouleaux', 'essuie', 'tout']",78757,2001007,1144
